Year,Month,Day,Weekday,Hour,Laisvos_vietos
2023,November,28,Tuesday,12,39
2023,November,28,Tuesday,12,39
2023,November,28,Tuesday,12,27
2023,November,28,Tuesday,12,39
2023,November,28,Tuesday,13,39
2023,November,28,Tuesday,13,39
2023,November,28,Tuesday,13,39
2023,November,28,Tuesday,13,39
2023,November,28,Tuesday,13,40
2023,November,28,Tuesday,13,40
2023,November,28,Tuesday,14,38
2023,November,28,Tuesday,14,41
2023,November,28,Tuesday,14,41
2023,November,28,Tuesday,14,41
2023,November,28,Tuesday,14,41
2023,November,28,Tuesday,14,41
2023,November,28,Tuesday,14,45
2023,November,28,Tuesday,15,44
2023,November,28,Tuesday,15,37
2023,November,28,Tuesday,15,38
2023,November,28,Tuesday,15,36
2023,November,28,Tuesday,15,36
2023,November,28,Tuesday,15,36
2023,November,28,Tuesday,22,60
2023,November,28,Tuesday,22,60
2023,November,29,Wednesday,08,27
2023,November,29,Wednesday,08,18
2023,November,29,Wednesday,09,24
2023,November,29,Wednesday,09,22
2023,November,29,Wednesday,09,22
2023,November,29,Wednesday,09,16
2023,November,29,Wednesday,09,-1
2023,November,29,Wednesday,09,19
2023,November,29,Wednesday,10,22
2023,November,29,Wednesday,10,24
2023,November,29,Wednesday,10,23
2023,November,29,Wednesday,10,15
2023,November,29,Wednesday,10,14
2023,November,29,Wednesday,10,11
2023,November,29,Wednesday,11,8
2023,November,29,Wednesday,11,5
2023,November,29,Wednesday,11,6
2023,November,29,Wednesday,11,3
2023,November,29,Wednesday,11,4
2023,November,29,Wednesday,11,4
2023,November,29,Wednesday,12,8
2023,November,29,Wednesday,12,8
2023,November,29,Wednesday,12,10
2023,November,29,Wednesday,12,15
2023,November,29,Wednesday,12,10
2023,November,29,Wednesday,12,16
2023,November,29,Wednesday,13,22
2023,November,29,Wednesday,13,26
2023,November,29,Wednesday,13,23
2023,November,29,Wednesday,13,20
2023,November,29,Wednesday,13,21
2023,November,29,Wednesday,13,16
2023,November,29,Wednesday,14,14
2023,November,29,Wednesday,14,16
2023,November,29,Wednesday,14,15
2023,November,29,Wednesday,14,4
2023,November,29,Wednesday,14,1
2023,November,29,Wednesday,14,2
2023,November,29,Wednesday,15,0
2023,November,29,Wednesday,15,3
2023,November,29,Wednesday,15,4
2023,November,29,Wednesday,15,8
2023,November,29,Wednesday,15,12
2023,November,29,Wednesday,16,13
2023,November,29,Wednesday,16,17
2023,November,29,Wednesday,16,16
2023,November,29,Wednesday,16,21
2023,November,29,Wednesday,16,22
2023,November,29,Wednesday,16,26
2023,November,29,Wednesday,17,35
2023,November,29,Wednesday,17,35
2023,November,29,Wednesday,17,32
2023,November,29,Wednesday,17,24
2023,November,29,Wednesday,17,21
2023,November,29,Wednesday,17,12
2023,November,29,Wednesday,18,9
2023,November,29,Wednesday,18,9
2023,November,29,Wednesday,18,2
2023,November,29,Wednesday,18,5
2023,November,29,Wednesday,18,0
2023,November,29,Wednesday,18,2
2023,November,29,Wednesday,19,2
2023,November,29,Wednesday,19,4
2023,November,29,Wednesday,19,4
2023,November,29,Wednesday,19,3
2023,November,29,Wednesday,19,7
2023,November,29,Wednesday,19,22
2023,November,29,Wednesday,20,29
2023,November,29,Wednesday,20,25
2023,November,29,Wednesday,20,25
2023,November,29,Wednesday,20,28
2023,November,29,Wednesday,20,30
2023,November,29,Wednesday,20,26
2023,November,29,Wednesday,21,32
2023,November,29,Wednesday,21,42
2023,November,29,Wednesday,21,46
2023,November,29,Wednesday,21,49
2023,November,29,Wednesday,21,51
2023,November,29,Wednesday,21,58
2023,November,29,Wednesday,22,60
2023,November,29,Wednesday,22,60
2023,November,29,Wednesday,22,60
2023,November,29,Wednesday,22,60
2023,November,30,Thursday,09,35
2023,November,30,Thursday,09,35
2023,November,30,Thursday,09,35
2023,November,30,Thursday,17,30
2023,November,30,Thursday,17,27
2023,November,30,Thursday,17,31
2023,November,30,Thursday,17,26
2023,November,30,Thursday,17,22
2023,November,30,Thursday,18,3
2023,November,30,Thursday,18,0
2023,November,30,Thursday,18,0
2023,November,30,Thursday,18,7
2023,November,30,Thursday,18,1
2023,November,30,Thursday,18,4
2023,November,30,Thursday,19,8
2023,November,30,Thursday,19,11
2023,November,30,Thursday,19,2
2023,November,30,Thursday,19,5
2023,November,30,Thursday,19,0
2023,November,30,Thursday,19,5
2023,November,30,Thursday,20,17
2023,November,30,Thursday,20,19
2023,November,30,Thursday,20,20
2023,November,30,Thursday,20,21
2023,November,30,Thursday,20,28
2023,November,30,Thursday,20,36
2023,November,30,Thursday,21,38
2023,November,30,Thursday,21,42
2023,November,30,Thursday,21,46
2023,November,30,Thursday,21,51
2023,December,1,Friday,09,43
2023,December,1,Friday,09,42
2023,December,1,Friday,09,42
2023,December,1,Friday,09,42
2023,December,1,Friday,10,30
2023,December,1,Friday,10,33
2023,December,1,Friday,10,42
2023,December,1,Friday,10,43
2023,December,1,Friday,10,45
2023,December,1,Friday,10,33
2023,December,1,Friday,11,42
2023,December,1,Friday,11,45
2023,December,1,Friday,11,45
2023,December,1,Friday,11,46
2023,December,1,Friday,11,46
2023,December,1,Friday,11,46
2023,December,1,Friday,12,47
2023,December,1,Friday,12,47
2023,December,1,Friday,12,48
2023,December,1,Friday,12,48
2023,December,1,Friday,12,48
2023,December,1,Friday,12,39
2023,December,1,Friday,13,39
2023,December,1,Friday,13,40
2023,December,1,Friday,13,48
2023,December,1,Friday,13,48
2023,December,1,Friday,13,48
2023,December,1,Friday,13,51
2023,December,1,Friday,14,58
2023,December,1,Friday,14,49
2023,December,1,Friday,14,47
2023,December,1,Friday,14,47
2023,December,1,Friday,14,47
2023,December,1,Friday,14,45
2023,December,1,Friday,15,43
2023,December,1,Friday,15,44
2023,December,1,Friday,15,49
2023,December,1,Friday,15,52
2023,December,1,Friday,15,54
2023,December,1,Friday,15,51
2023,December,1,Friday,16,40
2023,December,1,Friday,16,39
2023,December,1,Friday,16,39
2023,December,1,Friday,16,34
2023,December,1,Friday,16,32
2023,December,1,Friday,16,30
2023,December,1,Friday,17,27
2023,December,1,Friday,17,26
2023,December,1,Friday,17,26
2023,December,1,Friday,17,26
2023,December,1,Friday,17,14
2023,December,1,Friday,17,10
2023,December,1,Friday,18,3
2023,December,1,Friday,18,3
2023,December,1,Friday,18,7
2023,December,1,Friday,18,11
2023,December,1,Friday,18,10
2023,December,1,Friday,18,12
2023,December,1,Friday,19,12
2023,December,1,Friday,19,9
2023,December,1,Friday,19,15
2023,December,1,Friday,19,20
2023,December,1,Friday,19,32
2023,December,1,Friday,19,31
2023,December,1,Friday,20,31
2023,December,1,Friday,20,33
2023,December,1,Friday,20,34
2023,December,1,Friday,20,36
